factor_a,factor_b,factor_c,factor_d,costo
0,1,0,0,0.0137052
0,1,0,0,0.0142323
0,1,0,0,0.0149339
0,1,0,1,0.0098982
0,1,0,1,0.0123268
0,1,0,1,0.0149093
0,1,0,1,0.0104918
0,1,0,1,0.0142676
0,1,0,1,0.0125333
0,1,0,1,0.0124742
0,1,0,1,0.0127737
0,1,0,1,0.0118712
0,1,0,1,0.0093928
0,1,0,1,0.0158441
0,1,0,1,0.0104469
0,1,0,1,0.0116599
0,1,0,1,0.0122401
0,1,0,1,0.0171771
0,1,0,1,0.012338
0,1,0,1,0.0103554
0,1,0,1,0.0127792
0,1,0,1,0.0090932
0,1,0,1,0.0165692
0,1,0,1,0.0154345
0,1,0,1,0.0147213
0,1,0,1,0.0127219
0,1,0,1,0.0127199
0,1,0,1,0.0102444
0,1,0,1,0.0105491
0,1,0,1,0.0146417
0,1,0,1,0.0122527
0,1,0,1,0.014645
0,1,0,1,0.0107902
0,1,1,0,0.0032043
0,1,1,0,0.0032443
0,1,1,0,0.0032457
0,1,1,0,0.003265
0,1,1,0,0.0033726
0,1,1,0,0.0033174
0,1,1,0,0.0032942
0,1,1,0,0.0033882
0,1,1,0,0.0033385
0,1,1,0,0.003433
0,1,1,0,0.0034145
0,1,1,0,0.003167
0,1,1,0,0.0032998
0,1,1,0,0.0033536
0,1,1,0,0.0033944
0,1,1,0,0.0033308
0,1,1,0,0.0033209
0,1,1,0,0.0033821
0,1,1,0,0.0032157
0,1,1,0,0.0032337
0,1,1,0,0.0031783
0,1,1,0,0.0031531
0,1,1,0,0.0032591
0,1,1,0,0.0032236
0,1,1,0,0.0033022
0,1,1,0,0.003329
0,1,1,0,0.0033748
0,1,1,0,0.0031667
0,1,1,0,0.0033399
0,1,1,0,0.003395
0,1,1,1,0.0037568
0,1,1,1,0.0035623
0,1,1,1,0.0042374
0,1,1,1,0.0040468
0,1,1,1,0.0038724
0,1,1,1,0.004124
0,1,1,1,0.0036788
0,1,1,1,0.0035308
0,1,1,1,0.0032652
0,1,1,1,0.0041441
0,1,1,1,0.0036891
0,1,1,1,0.0041158
0,1,1,1,0.0038292
0,1,1,1,0.003958
0,1,1,1,0.0035752
0,1,1,1,0.0039263
0,1,1,1,0.0038882
0,1,1,1,0.003763
0,1,1,1,0.0039255
0,1,1,1,0.0039827
0,1,1,1,0.0036823
0,1,1,1,0.0041517
0,1,1,1,0.0038077
0,1,1,1,0.0041159
0,1,1,1,0.0040275
0,1,1,1,0.0037698
0,1,1,1,0.0042393
0,1,1,1,0.0039721
0,1,1,1,0.0040332
0,1,1,1,0.0038471
1,0,0,0,0.0451877
1,0,0,0,0.0400061
1,0,0,0,0.0421991
1,0,0,0,0.0432171
1,0,0,0,0.0425772
1,0,0,0,0.0393556
1,0,0,0,0.0414588
1,0,0,0,0.0407429
1,0,0,0,0.0416642
1,0,0,0,0.0425426
1,0,0,0,0.0430776
1,0,0,0,0.0416225
1,0,0,0,0.0406444
1,0,0,0,0.0418881
1,0,0,0,0.0419045
1,0,0,0,0.0415736
1,0,0,0,0.0435228
1,0,0,0,0.0421535
1,0,0,0,0.0415909
1,0,0,0,0.0442517
1,0,0,0,0.0434663
1,0,0,0,0.044126
1,0,0,0,0.0456001
1,0,0,0,0.0422554
1,0,0,0,0.0410862
1,0,0,0,0.0428861
1,0,0,0,0.0435275
1,0,0,0,0.0413669
1,0,0,0,0.0444926
1,0,0,0,0.0439572
1,0,0,1,0.0440583
1,0,0,1,0.0432203
1,0,0,1,0.0443793
1,0,0,1,0.0420365
1,0,0,1,0.0424302
1,0,0,1,0.0434266
1,0,0,1,0.0431512
1,0,0,1,0.0428805
1,0,0,1,0.0428951
